template_name,template_language,template_path,resolved_template_path,tool,iac_type,return_code,duration_s,issue_count,issue_index,issue_id,issue_message,issue_level,issue_location,issue_json,issue_status,error
template_14603_keyvault.bicep,bicep,data/bicep_collected_templates_new\template_14603_keyvault.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_14603_keyvault.bicep,checkov,bicep,1,5.16,10,1,CKV_AZURE_189,Ensure that Azure Key Vault disables public network access,,L19-L31,"{""id"": ""CKV_AZURE_189"", ""message"": ""Ensure that Azure Key Vault disables public network access"", ""level"": null, ""location"": ""L19-L31""}",issue,
template_14603_keyvault.bicep,bicep,data/bicep_collected_templates_new\template_14603_keyvault.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_14603_keyvault.bicep,checkov,bicep,1,5.16,10,2,CKV_AZURE_109,Ensure that key vault allows firewall rules settings,,L19-L31,"{""id"": ""CKV_AZURE_109"", ""message"": ""Ensure that key vault allows firewall rules settings"", ""level"": null, ""location"": ""L19-L31""}",issue,
template_14603_keyvault.bicep,bicep,data/bicep_collected_templates_new\template_14603_keyvault.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_14603_keyvault.bicep,checkov,bicep,1,5.16,10,3,CKV_AZURE_110,Ensure that key vault enables purge protection,,L19-L31,"{""id"": ""CKV_AZURE_110"", ""message"": ""Ensure that key vault enables purge protection"", ""level"": null, ""location"": ""L19-L31""}",issue,
template_14603_keyvault.bicep,bicep,data/bicep_collected_templates_new\template_14603_keyvault.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_14603_keyvault.bicep,checkov,bicep,1,5.16,10,4,CKV_AZURE_42,Ensure the key vault is recoverable,,L19-L31,"{""id"": ""CKV_AZURE_42"", ""message"": ""Ensure the key vault is recoverable"", ""level"": null, ""location"": ""L19-L31""}",issue,
template_14603_keyvault.bicep,bicep,data/bicep_collected_templates_new\template_14603_keyvault.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_14603_keyvault.bicep,checkov,bicep,1,5.16,10,5,CKV_AZURE_114,"Ensure that key vault secrets have ""content_type"" set",,L33-L42,"{""id"": ""CKV_AZURE_114"", ""message"": ""Ensure that key vault secrets have \""content_type\"" set"", ""level"": null, ""location"": ""L33-L42""}",issue,
template_14603_keyvault.bicep,bicep,data/bicep_collected_templates_new\template_14603_keyvault.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_14603_keyvault.bicep,checkov,bicep,1,5.16,10,6,CKV_AZURE_41,Ensure that the expiration date is set on all secrets,,L33-L42,"{""id"": ""CKV_AZURE_41"", ""message"": ""Ensure that the expiration date is set on all secrets"", ""level"": null, ""location"": ""L33-L42""}",issue,
template_14603_keyvault.bicep,bicep,data/bicep_collected_templates_new\template_14603_keyvault.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_14603_keyvault.bicep,checkov,bicep,1,5.16,10,7,CKV_AZURE_114,"Ensure that key vault secrets have ""content_type"" set",,L44-L53,"{""id"": ""CKV_AZURE_114"", ""message"": ""Ensure that key vault secrets have \""content_type\"" set"", ""level"": null, ""location"": ""L44-L53""}",issue,
template_14603_keyvault.bicep,bicep,data/bicep_collected_templates_new\template_14603_keyvault.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_14603_keyvault.bicep,checkov,bicep,1,5.16,10,8,CKV_AZURE_41,Ensure that the expiration date is set on all secrets,,L44-L53,"{""id"": ""CKV_AZURE_41"", ""message"": ""Ensure that the expiration date is set on all secrets"", ""level"": null, ""location"": ""L44-L53""}",issue,
template_14603_keyvault.bicep,bicep,data/bicep_collected_templates_new\template_14603_keyvault.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_14603_keyvault.bicep,checkov,bicep,1,5.16,10,9,CKV_AZURE_114,"Ensure that key vault secrets have ""content_type"" set",,L55-L64,"{""id"": ""CKV_AZURE_114"", ""message"": ""Ensure that key vault secrets have \""content_type\"" set"", ""level"": null, ""location"": ""L55-L64""}",issue,
template_14603_keyvault.bicep,bicep,data/bicep_collected_templates_new\template_14603_keyvault.bicep,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\bicep_collected_templates_new\template_14603_keyvault.bicep,checkov,bicep,1,5.16,10,10,CKV_AZURE_41,Ensure that the expiration date is set on all secrets,,L55-L64,"{""id"": ""CKV_AZURE_41"", ""message"": ""Ensure that the expiration date is set on all secrets"", ""level"": null, ""location"": ""L55-L64""}",issue,
