template_name,template_language,template_path,resolved_template_path,tool,iac_type,return_code,duration_s,issue_count,issue_index,issue_id,issue_message,issue_level,issue_location,issue_json,issue_status,error
group_00095_lessons_162_1-part,terraform,data/terraform_collected_templates_new\group_00095_lessons_162_1-part/0-privider.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/1-vpc.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/2-db-subnet-group.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/3-rds.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00095_lessons_162_1-part\0-privider.tf,checkov,terraform,1,17.83,12,5,CKV_AWS_118,Ensure that enhanced monitoring is enabled for Amazon RDS instances,,L1-L14,"{""id"": ""CKV_AWS_118"", ""message"": ""Ensure that enhanced monitoring is enabled for Amazon RDS instances"", ""level"": null, ""location"": ""L1-L14""}",issue,
group_00095_lessons_162_1-part,terraform,data/terraform_collected_templates_new\group_00095_lessons_162_1-part/0-privider.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/1-vpc.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/2-db-subnet-group.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/3-rds.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00095_lessons_162_1-part\0-privider.tf,checkov,terraform,1,17.83,12,6,CKV_AWS_161,Ensure RDS database has IAM authentication enabled,,L1-L14,"{""id"": ""CKV_AWS_161"", ""message"": ""Ensure RDS database has IAM authentication enabled"", ""level"": null, ""location"": ""L1-L14""}",issue,
group_00095_lessons_162_1-part,terraform,data/terraform_collected_templates_new\group_00095_lessons_162_1-part/0-privider.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/1-vpc.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/2-db-subnet-group.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/3-rds.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00095_lessons_162_1-part\0-privider.tf,checkov,terraform,1,17.83,12,7,CKV_AWS_293,Ensure that AWS database instances have deletion protection enabled,,L1-L14,"{""id"": ""CKV_AWS_293"", ""message"": ""Ensure that AWS database instances have deletion protection enabled"", ""level"": null, ""location"": ""L1-L14""}",issue,
group_00095_lessons_162_1-part,terraform,data/terraform_collected_templates_new\group_00095_lessons_162_1-part/0-privider.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/1-vpc.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/2-db-subnet-group.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/3-rds.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00095_lessons_162_1-part\0-privider.tf,checkov,terraform,1,17.83,12,8,CKV_AWS_353,Ensure that RDS instances have performance insights enabled,,L1-L14,"{""id"": ""CKV_AWS_353"", ""message"": ""Ensure that RDS instances have performance insights enabled"", ""level"": null, ""location"": ""L1-L14""}",issue,
group_00095_lessons_162_1-part,terraform,data/terraform_collected_templates_new\group_00095_lessons_162_1-part/0-privider.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/1-vpc.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/2-db-subnet-group.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/3-rds.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00095_lessons_162_1-part\0-privider.tf,checkov,terraform,1,17.83,12,9,CKV_AWS_157,Ensure that RDS instances have Multi-AZ enabled,,L1-L14,"{""id"": ""CKV_AWS_157"", ""message"": ""Ensure that RDS instances have Multi-AZ enabled"", ""level"": null, ""location"": ""L1-L14""}",issue,
group_00095_lessons_162_1-part,terraform,data/terraform_collected_templates_new\group_00095_lessons_162_1-part/0-privider.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/1-vpc.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/2-db-subnet-group.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/3-rds.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00095_lessons_162_1-part\0-privider.tf,checkov,terraform,1,17.83,12,10,CKV_AWS_17,Ensure all data stored in RDS is not publicly accessible,,L1-L14,"{""id"": ""CKV_AWS_17"", ""message"": ""Ensure all data stored in RDS is not publicly accessible"", ""level"": null, ""location"": ""L1-L14""}",issue,
group_00095_lessons_162_1-part,terraform,data/terraform_collected_templates_new\group_00095_lessons_162_1-part/0-privider.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/1-vpc.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/2-db-subnet-group.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/3-rds.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00095_lessons_162_1-part\0-privider.tf,checkov,terraform,1,17.83,12,11,CKV2_AWS_30,Ensure Postgres RDS as aws_db_instance has Query Logging enabled,,L1-L14,"{""id"": ""CKV2_AWS_30"", ""message"": ""Ensure Postgres RDS as aws_db_instance has Query Logging enabled"", ""level"": null, ""location"": ""L1-L14""}",issue,
group_00095_lessons_162_1-part,terraform,data/terraform_collected_templates_new\group_00095_lessons_162_1-part/0-privider.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/1-vpc.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/2-db-subnet-group.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/3-rds.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00095_lessons_162_1-part\0-privider.tf,checkov,terraform,1,17.83,12,12,CKV2_AWS_60,Ensure RDS instance with copy tags to snapshots is enabled,,L1-L14,"{""id"": ""CKV2_AWS_60"", ""message"": ""Ensure RDS instance with copy tags to snapshots is enabled"", ""level"": null, ""location"": ""L1-L14""}",issue,
group_00095_lessons_162_1-part,terraform,data/terraform_collected_templates_new\group_00095_lessons_162_1-part/0-privider.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/1-vpc.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/2-db-subnet-group.tf|data/terraform_collected_templates_new\group_00095_lessons_162_1-part/3-rds.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00095_lessons_162_1-part\0-privider.tf,terraform-validate,terraform,0,10.222,0,,,,,,,no_issue,
group_00271_Terraform-AWS-Services-Creation_EKS-Fargate,terraform,data/terraform_collected_templates_new\group_00271_Terraform-AWS-Services-Creation_EKS-Fargate/main.tf|data/terraform_collected_templates_new\group_00271_Terraform-AWS-Services-Creation_EKS-Fargate/variables.tf,D:\Personal Storage\1 - PhD\0_Projects\1_IR\code\data\terraform_collected_templates_new\group_00271_Terraform-AWS-Services-Creation_EKS-Fargate\main.tf,tflint,terraform,0,0.097,2,1,terraform_required_version,"terraform ""required_version"" attribute is required",warning,L1,"{""id"": ""terraform_required_version"", ""message"": ""terraform \""required_version\"" attribute is required"", ""level"": ""warning"", ""location"": ""L1""}",issue,
